I2M2;v1.0.6;2023-04-26;Temps d'execution :;10.35secs
CODE_OPERATION;CODE_STATION;DATE;CODE_PAR;LIB_PAR;RESULTAT;COMMENTAIRE
0417466015/09/2022;04174660;15/09/2022;8054;RichesseI2M2;0.7347;
0417466015/09/2022;04174660;15/09/2022;7613;Ind Invert Multimetrique;0.678;
0417466015/09/2022;04174660;15/09/2022;8050;NbTaxonsI2M2Contributifs;60;Les taxons suivants, representant 5% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 49953, 50011, 3170.
0417545008/08/2022;04175450;08/08/2022;8058;IndiceShannonI2M2;0.3042;
0417545008/08/2022;04175450;08/08/2022;8057;AverageScorePerTaxonI2M2;0.6563;
0417545008/08/2022;04175450;08/08/2022;8056;PolyvoltinismeI2M2;0.5699;
0417545008/08/2022;04175450;08/08/2022;8055;OvovivipariteI2M2;0.5988;
0417545008/08/2022;04175450;08/08/2022;8054;RichesseI2M2;0.4694;
0417545008/08/2022;04175450;08/08/2022;7613;Ind Invert Multimetrique;0.5342;
0417545008/08/2022;04175450;08/08/2022;8050;NbTaxonsI2M2Contributifs;47;Les taxons suivants, representant 4% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 50011, 3170.
0417550008/08/2022;04175500;08/08/2022;8058;IndiceShannonI2M2;0.5394;
0417550008/08/2022;04175500;08/08/2022;8057;AverageScorePerTaxonI2M2;0.8282;
0417550008/08/2022;04175500;08/08/2022;8056;PolyvoltinismeI2M2;0.6372;
0417550008/08/2022;04175500;08/08/2022;8055;OvovivipariteI2M2;0.619;
0417550008/08/2022;04175500;08/08/2022;8054;RichesseI2M2;0.5714;
0417550008/08/2022;04175500;08/08/2022;7613;Ind Invert Multimetrique;0.6481;
0417550008/08/2022;04175500;08/08/2022;8050;NbTaxonsI2M2Contributifs;51;Les taxons suivants, representant 4% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 50792, 50011.
0417732001/06/2022;04177320;01/06/2022;8058;IndiceShannonI2M2;0.4059;
0417732001/06/2022;04177320;01/06/2022;8057;AverageScorePerTaxonI2M2;1;
0417732001/06/2022;04177320;01/06/2022;8056;PolyvoltinismeI2M2;0.8165;
0417732001/06/2022;04177320;01/06/2022;8055;OvovivipariteI2M2;0.964;
0417732001/06/2022;04177320;01/06/2022;8054;RichesseI2M2;0.2653;
0417732001/06/2022;04177320;01/06/2022;7613;Ind Invert Multimetrique;0.7332;
0417732001/06/2022;04177320;01/06/2022;8050;NbTaxonsI2M2Contributifs;38;Les taxons suivants, representant 7% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 50011, 3206, 3170.
0417800009/08/2022;04178000;09/08/2022;8058;IndiceShannonI2M2;0.231;
0417800009/08/2022;04178000;09/08/2022;8057;AverageScorePerTaxonI2M2;0.541;
0417800009/08/2022;04178000;09/08/2022;8056;PolyvoltinismeI2M2;0.6034;
0417800009/08/2022;04178000;09/08/2022;8055;OvovivipariteI2M2;0.6135;
0417800009/08/2022;04178000;09/08/2022;8054;RichesseI2M2;0.4427;
0417800009/08/2022;04178000;09/08/2022;7613;Ind Invert Multimetrique;0.503;
0417800009/08/2022;04178000;09/08/2022;8050;NbTaxonsI2M2Contributifs;47;Les taxons suivants, representant 4% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 49953, 50011.
0417810309/08/2022;04178103;09/08/2022;8058;IndiceShannonI2M2;0.7486;
